"index";"time";"minutes";"dateTime";"HP34401A.VoltageDC";"Math.RMS";"Math.AVG1000";"Math.StdDev";"Math.StdDev100"
103;45,577;0,7596166667;1752603247,085;9,9804321;9,980432573;9,9804325654;0,0000031551;0,0000031706
104;46,077;0,76795;1752603247,585;9,9804277;9,980432562;9,980432519;0,0000031756;0,0000031857
105;46,577;0,7762833333;1752603248,086;9,9804321;9,980432562;9,9804325151;0,0000031607;0,0000031857
106;47,078;0,7846333333;1752603248,587;9,9804321;9,980432584;9,9804325112;0,000003146;0,0000031747
107;47,577;0,79295;1752603249,086;9,9804343;9,980432606;9,9804325278;0,000003136;0,000003179
108;48,078;0,8013;1752603249,586;9,9804343;9,980432628;9,980432544;0,0000031261;0,000003183
109;48,577;0,8096166667;1752603250,085;9,9804288;9,980432606;9,98043251;0,0000031321;0,000003202
110;49,077;0,81795;1752603250,585;9,9804321;9,980432639;9,9804325063;0,0000031181;0,0000031793
111;49,577;0,8262833333;1752603251,086;9,9804266;9,980432628;9,9804324536;0,0000031538;0,0000031984
112;50,078;0,8346333333;1752603251,586;9,980431;9,980432639;9,9804324407;0,0000031426;0,0000031908
113;50,578;0,8429666667;1752603252,086;9,9804321;9,980432661;9,9804324377;0,0000031289;0,0000031793
114;51,077;0,8512833333;1752603252,586;9,9804343;9,980432683;9,9804324539;0,0000031199;0,0000031829
115;51,577;0,8596166667;1752603253,085;9,9804332;9,980432727;9,9804324603;0,0000031071;0,000003159
116;52,077;0,86795;1752603253,586;9,9804332;9,980432738;9,9804324667;0,0000030945;0,0000031588
117;52,577;0,8762833333;1752603254,085;9,980431;9,980432749;9,9804324542;0,0000030842;0,0000031507
118;53,077;0,8846166667;1752603254,585;9,9804299;9,980432749;9,9804324328;0,00000308;0,0000031507
119;53,577;0,89295;1752603255,085;9,9804321;9,980432771;9,98043243;0,0000030672;0,0000031382
120;54,077;0,9012833333;1752603255,586;9,9804343;9,980432837;9,9804324455;0,0000030591;0,0000030997
121;54,577;0,9096166667;1752603256,086;9,9804277;9,980432793;9,9804324066;0,0000030766;0,0000031412
122;55,077;0,91795;1752603256,586;9,9804365;9,980432903;9,9804324398;0,0000030861;0,0000030751
123;55,577;0,9262833333;1752603257,085;9,9804277;9,980432859;9,9804324016;0,0000031028;0,0000031179
124;56,077;0,9346166667;1752603257,585;9,9804299;9,980432859;9,9804323816;0,0000030984;0,0000031179
125;56,577;0,94295;1752603258,086;9,9804354;9,980432903;9,9804324056;0,0000030977;0,0000031225
126;57,078;0,9513;1752603258,587;9,9804321;9,980432936;9,9804324031;0,0000030855;0,000003096
127;57,577;0,9596166667;1752603259,086;9,9804343;9,980432991;9,980432418;0,0000030779;0,0000030705
128;58,077;0,96795;1752603259,586;9,9804299;9,980433002;9,9804323984;0,0000030738;0,0000030573
129;58,577;0,9762833333;1752603260,085;9,9804376;9,980433068;9,9804324385;0,0000030957;0,0000030848
130;59,078;0,9846333333;1752603260,586;9,9804332;9,980433112;9,9804324443;0,0000030845;0,0000030545
131;59,577;0,99295;1752603261,086;9,9804299;9,980433101;9,980432425;0,0000030807;0,0000030641
132;60,077;1,0012833333;1752603261,585;9,9804277;9,98043309;9,9804323895;0,0000030962;0,0000030817
133;60,577;1,0096166667;1752603262,085;9,9804288;9,980433035;9,9804323627;0,0000031001;0,0000031088
134;61,077;1,01795;1752603262,586;9,9804321;9,980433002;9,9804323607;0,0000030886;0,000003101
135;61,577;1,0262833333;1752603263,087;9,9804321;9,980433046;9,9804323588;0,0000030772;0,0000030559
136;62,077;1,0346166667;1752603263,586;9,9804332;9,980433046;9,980432365;0,0000030667;0,0000030559
137;62,578;1,0429666667;1752603264,086;9,9804288;9,980432991;9,9804323391;0,0000030705;0,0000030824
138;63,077;1,0512833333;1752603264,586;9,9804299;9,980432925;9,9804323216;0,0000030664;0,0000030772
139;63,577;1,0596166667;1752603265,086;9,980431;9,980432914;9,9804323121;0,0000030574;0,0000030821
140;64,077;1,06795;1752603265,586;9,980431;9,980432881;9,9804323028;0,0000030484;0,0000030848
141;64,577;1,0762833333;1752603266,086;9,9804321;9,980432892;9,9804323014;0,0000030376;0,00000308
142;65,077;1,0846166667;1752603266,586;9,9804332;9,980432958;9,9804323077;0,0000030279;0,0000030138
143;65,577;1,09295;1752603267,086;9,9804299;9,98043298;9,980432291;0,0000030239;0,0000029829
144;66,077;1,1012833333;1752603267,586;9,9804365;9,980433002;9,98043232;0,0000030336;0,0000030008
145;66,577;1,1096166667;1752603268,086;9,9804332;9,980433024;9,980432326;0,000003024;0,000002994
146;67,077;1,11795;1752603268,587;9,9804299;9,980432947;9,9804323095;0,0000030203;0,0000029741
147;67,578;1,1263;1752603269,086;9,9804343;9,980432936;9,980432323;0,0000030144;0,000002967
148;68,077;1,1346166667;1752603269,585;9,9804321;9,980432903;9,9804323215;0,0000030043;0,0000029576
149;68,577;1,14295;1752603270,085;9,9804332;9,980432859;9,9804323273;0,000002995;0,0000029195
150;69,077;1,1512833333;1752603270,586;9,9804332;9,980432848;9,9804323331;0,0000029859;0,0000029161
151;69,577;1,1596166667;1752603271,086;9,9804354;9,980432859;9,9804323533;0,0000029863;0,0000029237
152;70,078;1,1679666667;1752603271,586;9,9804332;9,980432848;9,9804323588;0,0000029773;0,0000029203
153;70,577;1,1762833333;1752603272,085;9,9804354;9,980432848;9,9804323786;0,0000029777;0,0000029203
154;71,077;1,1846166667;1752603272,586;9,9804354;9,980432815;9,9804323981;0,0000029779;0,0000028717
155;71,578;1,1929666667;1752603273,086;9,9804354;9,980432793;9,9804324173;0,000002978;0,000002843
156;72,078;1,2013;1752603273,587;9,980431;9,980432738;9,9804324083;0,0000029706;0,0000028237
157;72,577;1,2096166667;1752603274,086;9,9804332;9,980432716;9,9804324133;0,0000029618;0,0000028113
158;73,078;1,2179666667;1752603274,586;9,980431;9,98043265;9,9804324044;0,0000029545;0,0000027727
159;73,578;1,2263;1752603275,087;9,9804332;9,980432661;9,9804324094;0,0000029459;0,0000027727
160;74,078;1,2346333333;1752603275,586;9,9804354;9,980432683;9,980432428;0,0000029461;0,0000027857
161;74,577;1,24295;1752603276,085;9,980431;9,980432617;9,9804324191;0,0000029391;0,0000027459
162;75,077;1,2512833333;1752603276,586;9,9804321;9,980432617;9,9804324172;0,0000029301;0,0000027459
163;75,577;1,2596166667;1752603277,086;9,980431;9,980432595;9,9804324085;0,0000029232;0,00000275
164;76,078;1,2679666667;1752603277,586;9,9804277;9,980432551;9,98043238;0,0000029372;0,0000027929
165;76,577;1,2762833333;1752603278,086;9,9804354;9,980432551;9,9804323982;0,0000029377;0,0000027929
166;77,077;1,2846166667;1752603278,586;9,9804321;9,980432496;9,9804323964;0,0000029289;0,0000027462
167;77,578;1,2929666667;1752603279,086;9,9804233;9,980432364;9,9804323423;0,0000030033;0,0000028664
168;78,077;1,3012833333;1752603279,586;9,9804332;9,980432342;9,9804323473;0,000002995;0,0000028513
169;78,577;1,3096166667;1752603280,086;9,9804332;9,980432309;9,9804323524;0,0000029869;0,0000028216
170;79,078;1,3179666667;1752603280,587;9,980431;9,980432265;9,9804323444;0,0000029799;0,0000028072
171;79,577;1,3262833333;1752603281,085;9,980431;9,980432232;9,9804323366;0,0000029729;0,0000028024
172;80,077;1,3346166667;1752603281,585;9,980431;9,980432177;9,9804323289;0,000002966;0,0000027716
173;80,577;1,34295;1752603282,086;9,9804321;9,98043221;9,9804323276;0,0000029575;0,0000027506
174;81,077;1,3512833333;1752603282,585;9,9804332;9,980432287;9,9804323326;0,0000029497;0,0000026673
175;81,577;1,3596166667;1752603283,086;9,9804343;9,980432342;9,9804323437;0,000002945;0,0000026514
176;82,077;1,36795;1752603283,585;9,980431;9,980432331;9,9804323362;0,0000029384;0,0000026547
177;82,578;1,3763;1752603284,087;9,9804365;9,980432375;9,9804323596;0,0000029466;0,0000026871
178;83,077;1,3846166667;1752603284,586;9,9804343;9,980432408;9,9804323704;0,0000029419;0,0000026903
179;83,578;1,3929666667;1752603285,087;9,9804332;9,980432463;9,980432375;0,0000029343;0,0000026489
180;84,077;1,4012833333;1752603285,586;9,9804321;9,980432485;9,9804323735;0,0000029262;0,0000026365
181;84,577;1,4096166667;1752603286,085;9,9804343;9,980432518;9,9804323841;0,0000029216;0,0000026384
182;85,078;1,4179666667;1752603286,587;9,9804332;9,980432529;9,9804323885;0,0000029142;0,000002639
183;85,578;1,4263;1752603287,086;9,9804332;9,980432529;9,9804323929;0,0000029069;0,000002639
184;86,078;1,4346333333;1752603287,587;9,9804343;9,980432551;9,9804324032;0,0000029023;0,0000026445
185;86,577;1,44295;1752603288,085;9,9804365;9,980432606;9,9804324253;0,00000291;0,000002669
186;87,077;1,4512833333;1752603288,586;9,9804343;9,980432562;9,9804324353;0,0000029054;0,000002603
187;87,577;1,4596166667;1752603289,086;9,9804321;9,98043254;9,9804324335;0,0000028978;0,0000025974
188;88,077;1,46795;1752603289,585;9,9804354;9,98043254;9,9804324492;0,0000028981;0,0000025974
189;88,577;1,4762833333;1752603290,085;9,9804299;9,980432463;9,9804324358;0,0000028963;0,0000025598
190;89,077;1,4846166667;1752603290,585;9,9804288;9,980432375;9,9804324168;0,0000029006;0,0000025325
191;89,577;1,49295;1752603291,086;9,9804266;9,980432342;9,9804323865;0,0000029233;0,000002586
192;90,077;1,5012833333;1752603291,586;9,9804277;9,980432276;9,9804323622;0,0000029352;0,0000026196
193;90,578;1,5096333333;1752603292,086;9,9804343;9,980432287;9,9804323722;0,0000029309;0,0000026258
194;91,077;1,51795;1752603292,586;9,980431;9,980432232;9,9804323651;0,0000029249;0,000002594
195;91,577;1,5262833333;1752603293,086;9,9804343;9,980432221;9,980432375;0,0000029207;0,0000025828
196;92,077;1,5346166667;1752603293,586;9,9804332;9,980432188;9,9804323792;0,0000029138;0,0000025484
197;92,577;1,54295;1752603294,086;9,980431;9,980432166;9,9804323722;0,0000029081;0,0000025491
198;93,077;1,5512833333;1752603294,586;9,9804343;9,980432166;9,9804323819;0,0000029039;0,0000025491
199;93,577;1,5596166667;1752603295,085;9,9804321;9,980432166;9,9804323805;0,0000028967;0,0000025491
200;94,077;1,56795;1752603295,585;9,9804321;9,980432155;9,9804323791;0,0000028895;0,0000025469
201;94,577;1,5762833333;1752603296,085;9,980431;9,980432144;9,9804323723;0,000002884;0,0000025496
202;95,077;1,5846166667;1752603296,586;9,980431;9,980432155;9,9804323655;0,0000028784;0,0000025421
203;95,577;1,59295;1752603297,087;9,9804266;9,9804321;9,9804323373;0,0000028996;0,0000026021
204;96,078;1,6013;1752603297,586;9,9804321;9,980432144;9,9804323361;0,0000028925;0,0000025639
205;96,577;1,6096166667;1752603298,085;9,980431;9,980432133;9,9804323296;0,0000028869;0,0000025665
206;97,077;1,61795;1752603298,585;9,9804354;9,980432166;9,9804323444;0,0000028878;0,0000025872
207;97,577;1,6262833333;1752603299,085;9,9804321;9,980432144;9,9804323433;0,0000028809;0,0000025782
208;98,077;1,6346166667;1752603299,586;9,9804343;9,980432144;9,9804323526;0,0000028771;0,0000025782
209;98,577;1,64295;1752603300,086;9,9804343;9,980432199;9,9804323619;0,0000028734;0,0000025647
210;99,078;1,6513;1752603300,586;9,9804343;9,980432221;9,9804323711;0,0000028696;0,0000025733
211;99,577;1,6596166667;1752603301,086;9,9804343;9,980432298;9,9804323802;0,0000028659;0,000002518
212;100,077;1,66795;1752603301,585;9,9804387;9,980432375;9,9804324099;0,0000028917;0,0000025945
213;100,577;1,6762833333;1752603302,086;9,9804376;9,98043243;9,9804324341;0,0000029067;0,0000026464
214;101,077;1,6846166667;1752603302,586;9,9804343;9,98043243;9,9804324428;0,0000029027;0,0000026464
215;101,577;1,69295;1752603303,086;9,9804354;9,980432452;9,9804324565;0,0000029029;0,0000026619
216;102,077;1,7012833333;1752603303,585;9,9804409;9,980432529;9,9804324954;0,0000029523;0,000002792
217;102,577;1,7096166667;1752603304,085;9,9804365;9,980432584;9,9804325138;0,000002958;0,0000028156
218;103,077;1,71795;1752603304,586;9,9804321;9,980432606;9,9804325119;0,0000029513;0,000002803
219;103,578;1,7263;1752603305,086;9,9804343;9,980432628;9,98043252;0,000002947;0,0000028076
220;104,078;1,7346333333;1752603305,587;9,9804354;9,980432639;9,980432533;0,0000029467;0,0000028164
221;104,578;1,7429666667;1752603306,087;9,9804321;9,980432683;9,9804325311;0,0000029402;0,0000027725
222;105,078;1,7513;1752603306,586;9,9804343;9,980432661;9,980432539;0,0000029359;0,0000027505
